,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
211,16,0710,藤枝,1-2,A,藤枝サ,晴,ＦＣ東京U-23,2016,fct,,17,6,0,448,23,6,2,5,23,6,17,21,2,3,0,0,38,13,139,12.2%,48.8%,(11.8%),(69.2%),(21.7%),(78.3%),(83.3%),(82.4%),12,5,0,527,19,11,3,6,21,4,18,19,0,1,3,1,38,17,130,9.2%,51.2%,(8.3%),(73.2%),(21.1%),(90.5%),(50.0%),(77.8%),,
212,17,0716,琉球,5-1,A,沖縄県陸,晴,ＦＣ東京U-23,2016,fct,,14,6,0,550,15,11,3,1,30,7,18,7,0,0,0,0,60,14,129,10.9%,55.7%,(7.1%),(79.8%),(26.7%),(86.7%),(85.7%),(88.9%),12,7,0,386,9,11,0,1,31,5,20,17,2,3,2,0,27,9,128,9.4%,44.3%,(41.7%),(72.8%),(33.3%),(80.6%),(60.0%),(75.0%),,
213,18,0724,大分,1-2,H,夢の島,晴,ＦＣ東京U-23,2016,fct,,6,3,0,466,15,14,1,1,37,18,24,20,2,1,2,0,41,13,134,4.5%,50%,(16.7%),(73.4%),(13.3%),(86.5%),(33.3%),(79.2%),18,7,0,433,12,10,1,2,30,16,29,18,3,1,0,0,38,14,139,12.9%,50%,(11.1%),(70.9%),(41.7%),(73.3%),(62.5%),(79.3%),,
214,19,0731,鳥取,0-1,H,味フィ西,晴,ＦＣ東京U-23,2016,fct,,19,6,0,583,17,16,1,7,25,18,18,9,2,1,3,0,41,13,120,15.8%,57.1%,(0.0%),(84.6%),(11.8%),(76.0%),(50.0%),(77.8%),10,2,0,389,4,13,1,3,18,8,27,21,1,1,3,0,28,8,108,9.3%,42.9%,(10.0%),(78.1%),(25.0%),(83.3%),(25.0%),(74.1%),,
215,20,0807,栃木,1-1,A,栃木グ,晴,ＦＣ東京U-23,2016,fct,,13,3,1,293,11,10,2,5,22,7,31,23,3,2,1,0,39,24,130,10.0%,41.1%,(7.7%),(64.2%),(27.3%),(86.4%),(42.9%),(71.0%),17,4,1,520,16,12,2,6,29,21,22,12,1,2,3,0,43,20,134,12.7%,58.9%,(5.9%),(78.7%),(12.5%),(79.3%),(33.3%),(81.8%),,
216,21,0911,盛岡,1-1,A,いわスタ,晴,ＦＣ東京U-23,2016,fct,,18,7,0,349,22,8,8,7,26,14,25,14,3,5,1,0,37,20,153,11.8%,42%,(5.6%),(64.5%),(13.6%),(80.8%),(42.9%),(92.0%),20,6,0,491,21,14,5,4,38,24,39,18,4,8,1,0,45,26,157,12.7%,58%,(5.0%),(72.3%),(14.3%),(86.8%),(62.5%),(79.5%),,
217,22,0919,秋田,1-0,H,味スタ,曇時々雨,ＦＣ東京U-23,2016,fct,,13,5,0,524,18,8,3,5,38,24,37,10,7,1,0,0,59,14,162,8.0%,47.7%,(7.7%),(73.1%),(16.7%),(78.9%),(37.5%),(67.6%),7,2,0,481,9,12,1,1,20,7,38,21,11,3,1,0,44,9,159,4.4%,52.3%,(0.0%),(70.1%),(11.1%),(85.0%),(28.6%),(76.3%),,
218,23,0925,鹿児島,0-1,A,鴨池,晴のち曇,ＦＣ東京U-23,2016,fct,,9,3,0,336,13,14,1,3,37,10,27,20,2,2,1,0,33,19,137,6.6%,41.9%,(11.1%),(63.4%),(15.4%),(89.2%),(40.0%),(81.5%),5,0,0,540,11,12,2,3,27,5,21,18,2,1,0,0,26,8,132,3.8%,58.1%,(0.0%),(77.4%),(18.2%),(81.5%),(60.0%),(90.5%),,
219,24,1002,YS横浜,2-0,H,味フィ西,晴,ＦＣ東京U-23,2016,fct,,23,7,0,609,21,5,1,6,27,20,21,21,3,5,1,0,57,25,124,18.5%,58.2%,(8.7%),(82.6%),(33.3%),(88.9%),(50.0%),(76.2%),9,2,0,385,17,14,5,5,27,7,25,19,1,1,0,0,37,9,139,6.5%,41.8%,(0.0%),(68.8%),(23.5%),(92.6%),(71.4%),(80.0%),,
220,25,1016,富山,0-0,A,富山,晴,ＦＣ東京U-23,2016,fct,,23,6,0,392,27,18,2,11,35,24,28,11,2,4,1,0,46,30,147,15.6%,49%,(0.0%),(70.2%),(22.2%),(85.7%),(37.5%),(71.4%),14,3,0,368,16,12,4,2,22,18,30,34,1,2,4,0,42,11,123,11.4%,51%,(0.0%),(72.6%),(18.8%),(86.4%),(44.4%),(80.0%),,
221,26,1023,Ｇ大23,1-1,A,万博,曇一時晴,ＦＣ東京U-23,2016,fct,,13,3,0,549,12,14,0,6,32,17,25,10,1,2,1,0,41,11,143,9.1%,50.7%,(7.7%),(79.1%),(16.7%),(84.4%),(47.1%),(68.0%),15,9,0,530,13,12,2,3,27,17,41,21,0,0,2,0,48,9,137,10.9%,49.3%,(6.7%),(77.7%),(15.4%),(92.6%),(58.8%),(73.2%),,
222,27,1030,相模原,4-1,H,味フィ西,曇,ＦＣ東京U-23,2016,fct,,21,5,0,636,19,13,1,9,25,19,29,15,2,2,4,0,52,20,128,16.4%,60.4%,(19.0%),(81.3%),(26.3%),(92.0%),(31.6%),(72.4%),8,4,0,335,5,16,2,1,26,14,33,24,2,1,1,0,27,5,128,6.3%,39.6%,(12.5%),(66.3%),(20.0%),(76.9%),(50.0%),(84.8%),,
223,28,1105,長野,1-2,H,駒沢,晴,ＦＣ東京U-23,2016,fct,,4,1,0,563,7,14,0,3,23,11,22,33,1,0,1,0,29,7,142,2.8%,58.6%,(25.0%),(77.4%),(28.6%),(91.3%),(36.4%),(77.3%),12,4,0,347,12,14,0,7,34,14,29,20,1,0,1,0,35,19,149,8.1%,41.4%,(16.7%),(67.4%),(16.7%),(64.7%),(35.7%),(65.5%),,
224,29,1113,福島,2-0,A,とうスタ,晴,ＦＣ東京U-23,2016,fct,,15,4,0,437,18,10,2,5,41,11,27,18,2,1,1,0,37,22,145,10.3%,50.7%,(0.0%),(70.0%),(22.2%),(73.2%),(18.2%),(74.1%),13,6,0,418,11,10,1,7,28,22,40,42,6,2,1,0,36,17,144,9.0%,49.3%,(15.4%),(68.4%),(54.5%),(92.9%),(63.6%),(82.5%),,
225,30,1120,Ｃ大23,2-0,H,夢の島,曇時々晴,ＦＣ東京U-23,2016,fct,,18,6,0,453,13,12,3,1,34,20,30,17,2,3,1,0,48,14,142,12.7%,52.3%,(11.1%),(75.3%),(38.5%),(91.2%),(25.0%),(70.0%),4,0,0,415,8,21,3,2,31,7,35,21,1,3,0,0,26,11,145,2.8%,47.7%,(0.0%),(69.4%),(12.5%),(87.1%),(42.9%),(74.3%),,
226,1,0312,富山,0-2,H,夢の島,晴,ＦＣ東京U-23,2017,fct,,9,0,0,389,7,11,0,4,34,8,27,32,7,2,3,0,26,12,153,5.9%,48.3%,(0.0%),(62.5%),(14.3%),(73.5%),(50.0%),(66.7%),10,4,0,411,12,18,2,3,44,12,23,15,5,0,0,0,47,14,177,5.6%,51.7%,(20.0%),(66.4%),(25.0%),(75.0%),(16.7%),(73.9%),,
227,2,0318,藤枝,1-2,A,藤枝サ,晴,ＦＣ東京U-23,2017,fct,,18,10,0,457,18,15,2,6,41,12,38,15,0,1,1,0,44,15,167,10.8%,51.4%,(11.1%),(66.1%),(16.7%),(82.9%),(58.3%),(78.9%),6,1,0,406,8,14,1,1,34,9,39,30,0,2,1,0,20,5,163,3.7%,48.6%,(16.7%),(63.8%),(12.5%),(79.4%),(44.4%),(66.7%),,
228,3,0325,相模原,1-0,H,味フィ西,晴,ＦＣ東京U-23,2017,fct,,7,1,0,459,15,5,5,5,21,16,25,29,2,1,0,0,38,14,149,4.7%,47.1%,(14.3%),(66.0%),(26.7%),(81.0%),(43.8%),(92.0%),12,0,0,518,9,16,1,4,39,12,34,25,3,4,1,0,32,10,160,7.5%,52.9%,(0.0%),(68.1%),(22.2%),(84.6%),(25.0%),(70.6%),,
229,4,0402,鹿児島,1-2,H,夢の島,晴時々曇,ＦＣ東京U-23,2017,fct,,11,3,0,542,12,23,1,6,25,27,26,11,2,1,3,0,59,13,134,8.2%,60.4%,(9.1%),(79.5%),(0.0%),(96.0%),(55.6%),(84.6%),11,3,1,275,10,15,2,4,16,14,38,25,0,1,0,0,28,10,124,8.9%,39.6%,(18.2%),(69.5%),(10.0%),(81.3%),(28.6%),(84.2%),,
230,5,0415,Ｃ大23,1-0,A,ヤンマー,晴のち曇一時雨,ＦＣ東京U-23,2017,fct,,12,4,0,439,16,15,0,3,33,20,28,19,1,0,0,0,34,10,148,8.1%,49.4%,(0.0%),(67.4%),(6.3%),(81.8%),(60.0%),(75.0%),14,5,0,512,3,9,0,7,35,16,27,28,4,0,0,0,34,16,150,9.3%,50.6%,(7.1%),(70.1%),(33.3%),(82.9%),(25.0%),(66.7%),,
231,6,0430,長野,0-0,A,長野Ｕ,晴,ＦＣ東京U-23,2017,fct,,14,4,0,396,18,10,1,2,27,9,20,31,2,4,1,0,40,13,133,10.5%,44.8%,(0.0%),(68.9%),(27.8%),(74.1%),(33.3%),(80.0%),9,2,0,502,16,10,4,4,38,22,18,25,3,1,2,0,37,11,139,6.5%,55.2%,(0.0%),(73.5%),(31.3%),(94.7%),(31.8%),(44.4%),,
232,7,0506,琉球,0-3,H,味フィ西,晴,ＦＣ東京U-23,2017,fct,,2,0,0,290,7,12,2,4,20,17,17,22,2,3,7,2,18,7,106,1.9%,39.9%,(0.0%),(67.9%),(14.3%),(85.0%),(41.2%),(88.2%),23,12,0,537,10,22,3,9,24,13,25,18,0,2,2,0,55,15,131,17.6%,60.1%,(13.0%),(81.0%),(10.0%),(70.8%),(53.8%),(80.0%),,
233,8,0513,栃木,0-1,H,味フィ西,雨,ＦＣ東京U-23,2017,fct,,7,1,0,403,8,8,1,9,37,11,16,27,0,2,0,0,27,9,130,5.4%,50.9%,(0.0%),(68.5%),(25.0%),(73.0%),(27.3%),(93.8%),21,7,0,405,16,11,3,11,37,10,23,21,2,1,0,0,29,21,150,14.0%,49.1%,(4.8%),(64.7%),(18.8%),(73.0%),(40.0%),(87.0%),,
234,9,0521,盛岡,0-0,A,いわスタ,晴,ＦＣ東京U-23,2017,fct,,10,2,0,483,11,11,2,2,36,6,38,31,5,3,0,0,47,8,159,6.3%,50.4%,(0.0%),(69.4%),(18.2%),(88.9%),(16.7%),(76.3%),10,5,0,469,17,10,3,5,36,29,36,23,2,2,1,0,55,9,151,6.6%,49.6%,(0.0%),(70.4%),(17.6%),(94.4%),(34.5%),(72.2%),,
235,10,0528,北九州,0-1,A,ミクスタ,晴,ＦＣ東京U-23,2017,fct,,14,5,0,458,14,5,2,5,35,7,26,32,6,1,1,0,29,18,133,10.5%,49.7%,(7.1%),(76.9%),(42.9%),(80.0%),(0.0%),(65.4%),16,4,0,488,15,10,2,5,31,28,32,21,4,2,1,0,33,11,137,11.7%,50.3%,(0.0%),(76.6%),(26.7%),(93.5%),(35.7%),(84.4%),,
236,11,0603,Ｇ大23,1-0,H,味フィ西,晴一時曇,ＦＣ東京U-23,2017,fct,,14,2,0,453,12,21,4,4,28,18,26,19,5,1,0,0,37,15,146,9.6%,46.3%,(7.1%),(75.1%),(33.3%),(78.6%),(38.9%),(84.6%),5,2,0,527,12,11,1,0,32,10,24,19,4,3,2,0,38,6,137,3.6%,53.7%,(0.0%),(74.0%),(0.0%),(96.9%),(50.0%),(75.0%),,
237,13,0618,YS横浜,1-0,A,ニッパツ,雨,ＦＣ東京U-23,2017,fct,,11,3,0,302,6,15,2,4,36,10,23,25,1,3,0,0,25,10,132,8.3%,41.3%,(0.0%),(61.6%),(66.7%),(80.6%),(50.0%),(65.2%),12,2,0,489,19,11,3,9,30,25,21,18,5,2,2,0,43,10,137,8.8%,58.7%,(8.3%),(74.4%),(21.1%),(86.7%),(28.0%),(52.4%),,
238,14,0625,沼津,1-6,H,夢の島,曇一時雨,ＦＣ東京U-23,2017,fct,,8,1,0,480,9,9,6,5,29,16,22,25,3,1,4,2,32,11,129,6.2%,48.9%,(12.5%),(76.0%),(11.1%),(93.1%),(18.8%),(72.7%),18,10,0,509,20,11,1,6,21,11,35,16,1,5,0,0,52,19,127,14.2%,51.1%,(33.3%),(76.2%),(25.0%),(95.2%),(36.4%),(65.7%),,
239,15,0701,秋田,1-1,H,味フィ西,曇,ＦＣ東京U-23,2017,fct,,19,6,0,524,11,5,2,5,23,20,21,15,2,1,0,0,39,9,126,15.1%,51.1%,(5.3%),(75.6%),(18.2%),(91.3%),(70.0%),(81.0%),7,2,0,395,8,8,1,3,30,13,25,25,6,2,1,0,29,7,122,5.7%,48.9%,(14.3%),(70.6%),(25.0%),(73.3%),(23.1%),(80.0%),,
240,16,0708,福島,2-2,A,とうスタ,晴,ＦＣ東京U-23,2017,fct,,18,9,0,332,8,13,3,3,25,10,23,35,5,1,4,0,37,18,132,13.6%,42%,(11.1%),(71.4%),(50.0%),(88.0%),(80.0%),(65.2%),10,3,1,508,13,13,1,3,39,19,22,15,1,2,0,0,35,17,129,7.8%,58%,(20.0%),(73.6%),(15.4%),(84.6%),(47.4%),(77.3%),,
241,17,0715,鳥取,6-0,A,とりスタ,晴,ＦＣ東京U-23,2017,fct,,14,3,0,489,17,12,3,3,29,12,23,11,3,4,0,0,44,10,138,10.1%,55.5%,(0.0%),(73.0%),(35.3%),(86.2%),(58.3%),(87.0%),13,7,1,352,8,8,5,6,27,10,16,26,4,3,2,0,26,12,137,9.5%,44.5%,(46.2%),(71.6%),(37.5%),(81.5%),(50.0%),(68.8%),,
242,18,0722,北九州,1-2,H,味フィ西,曇時々晴,ＦＣ東京U-23,2017,fct,,9,4,0,457,10,7,2,4,15,16,20,34,3,0,2,0,28,9,115,7.8%,53.1%,(11.1%),(75.1%),(30.0%),(66.7%),(50.0%),(70.0%),14,7,0,405,12,12,0,8,28,11,21,14,3,3,0,0,36,16,129,10.9%,46.9%,(14.3%),(69.9%),(8.3%),(85.7%),(54.5%),(57.1%),,
243,19,0819,富山,2-1,A,富山,曇,ＦＣ東京U-23,2017,fct,,15,2,0,381,23,16,2,7,24,13,24,23,0,3,2,0,34,18,134,11.2%,48.1%,(6.7%),(67.5%),(30.4%),(91.7%),(46.2%),(75.0%),9,4,0,411,15,12,3,4,24,13,18,28,0,2,3,0,31,8,127,7.1%,51.9%,(22.2%),(72.0%),(26.7%),(100.0%),(53.8%),(83.3%),,
244,20,0826,YS横浜,0-3,H,味フィ西,曇,ＦＣ東京U-23,2017,fct,,9,3,0,499,9,9,1,2,29,13,23,25,1,4,1,0,33,10,134,6.7%,50.1%,(0.0%),(75.4%),(22.2%),(86.2%),(46.2%),(69.6%),15,5,1,435,12,6,4,7,22,12,24,25,2,1,0,0,37,19,142,10.6%,49.9%,(20.0%),(73.3%),(41.7%),(90.9%),(41.7%),(75.0%),,
245,21,0902,沼津,0-5,A,愛鷹,晴,ＦＣ東京U-23,2017,fct,,15,8,0,465,20,7,1,4,27,11,24,21,2,4,0,0,36,17,121,12.4%,48.1%,(26.7%),(74.6%),(25.0%),(88.9%),(63.6%),(87.5%),6,2,0,473,12,4,4,5,29,15,19,18,2,0,1,0,39,8,121,5.0%,51.9%,(0.0%),(81.0%),(8.3%),(72.4%),(53.3%),(73.7%),,
246,23,0917,長野,1-0,H,夢の島,雨,ＦＣ東京U-23,2017,fct,,6,2,0,621,11,9,4,1,28,7,18,36,1,1,2,0,29,10,147,4.1%,56.8%,(0.0%),(77.0%),(27.3%),(100.0%),(14.3%),(83.3%),15,2,0,477,22,12,1,3,35,11,21,18,2,4,1,0,49,16,157,9.6%,43.2%,(0.0%),(71.1%),(13.6%),(57.1%),(27.3%),(85.7%),,
247,24,0923,栃木,1-4,A,栃木グ,曇,ＦＣ東京U-23,2017,fct,,19,7,0,291,16,17,1,5,23,14,41,28,1,2,0,0,26,19,128,14.8%,37.5%,(15.8%),(65.3%),(25.0%),(69.6%),(50.0%),(73.2%),7,2,0,586,11,10,3,5,30,22,16,18,1,1,3,0,45,6,139,5.0%,62.5%,(14.3%),(81.7%),(9.1%),(93.3%),(31.8%),(81.3%),,
248,25,1001,盛岡,3-1,H,味フィ西,曇,ＦＣ東京U-23,2017,fct,,26,5,1,683,25,5,3,12,29,19,23,21,3,2,1,0,49,22,132,19.7%,67.2%,(11.5%),(83.7%),(32.0%),(100.0%),(42.1%),(69.6%),12,6,0,289,11,6,2,5,24,6,21,15,2,3,2,0,27,12,122,9.8%,32.8%,(8.3%),(62.6%),(18.2%),(62.5%),(50.0%),(81.0%),,
249,26,1007,秋田,2-1,A,Ａ‐スタ,曇,ＦＣ東京U-23,2017,fct,,10,2,1,342,8,14,0,1,26,6,21,26,1,3,0,0,21,8,121,8.3%,40.4%,(10.0%),(65.2%),(25.0%),(69.2%),(83.3%),(71.4%),18,6,0,645,19,4,3,6,24,22,23,22,2,0,2,0,42,11,114,15.8%,59.6%,(11.1%),(82.5%),(21.1%),(95.8%),(50.0%),(78.3%),,
250,27,1016,鳥取,1-0,H,味スタ,雨,ＦＣ東京U-23,2017,fct,,22,6,0,797,17,9,4,5,37,16,21,5,3,0,0,0,54,19,137,16.1%,60.6%,(4.5%),(83.9%),(47.1%),(94.6%),(25.0%),(66.7%),6,2,0,412,5,13,0,3,16,10,20,32,5,4,2,0,20,7,128,4.7%,39.4%,(0.0%),(73.5%),(40.0%),(87.5%),(40.0%),(85.0%),,
251,28,1021,琉球,1-1,A,沖縄県陸,雨,ＦＣ東京U-23,2017,fct,,29,10,0,595,17,10,1,15,32,15,19,9,3,0,0,0,65,26,151,19.2%,58.4%,(3.4%),(80.7%),(11.8%),(84.4%),(40.0%),(73.7%),10,3,0,370,5,9,0,1,15,8,26,46,1,1,1,0,24,8,132,7.6%,41.6%,(10.0%),(69.2%),(20.0%),(80.0%),(62.5%),(84.6%),,
252,29,1028,福島,1-1,H,味フィ西,曇のち雨,ＦＣ東京U-23,2017,fct,,8,3,0,555,4,12,2,0,33,11,13,20,1,3,1,0,22,9,130,6.2%,53.2%,(12.5%),(82.7%),(50.0%),(78.8%),(27.3%),(84.6%),17,4,0,459,14,8,3,6,26,16,30,8,1,2,0,0,38,13,128,13.3%,46.8%,(5.9%),(73.4%),(21.4%),(80.8%),(56.3%),(66.7%),,
253,30,1105,Ｇ大23,3-4,A,吹田Ｓ,晴,ＦＣ東京U-23,2017,fct,,14,11,0,444,3,12,1,2,28,11,31,19,3,1,0,0,32,10,141,9.9%,44.4%,(28.6%),(76.1%),(0.0%),(96.4%),(36.4%),(74.2%),15,6,0,638,11,6,1,6,27,22,20,13,3,1,1,0,45,10,137,10.9%,55.6%,(20.0%),(83.4%),(9.1%),(100.0%),(40.9%),(75.0%),,
254,31,1111,藤枝,2-0,H,夢の島,曇,ＦＣ東京U-23,2017,fct,,9,4,0,310,9,17,1,4,14,16,36,27,3,2,1,0,20,9,128,7.0%,40.4%,(22.2%),(68.4%),(11.1%),(57.1%),(62.5%),(69.4%),9,2,0,584,25,12,2,7,29,15,24,12,2,1,1,0,56,11,136,6.6%,59.6%,(0.0%),(79.1%),(20.0%),(89.7%),(53.3%),(87.5%),,
255,32,1119,相模原,0-0,A,ギオンス,晴,ＦＣ東京U-23,2017,fct,,9,2,0,279,16,12,0,4,19,14,25,22,2,2,1,0,22,11,123,7.3%,37.6%,(0.0%),(57.7%),(12.5%),(63.2%),(42.9%),(84.0%),17,3,0,630,19,6,2,6,25,15,9,25,3,0,2,0,41,13,130,13.1%,62.4%,(0.0%),(81.1%),(5.3%),(92.0%),(60.0%),(66.7%),,
256,33,1126,鹿児島,0-3,A,鴨池,雨,ＦＣ東京U-23,2017,fct,,13,5,0,448,11,11,0,7,26,11,37,22,7,1,1,0,31,15,138,9.4%,50.8%,(23.1%),(75.4%),(54.5%),(73.1%),(36.4%),(67.6%),6,1,0,439,3,16,1,5,30,11,23,21,2,0,1,0,22,8,140,4.3%,49.2%,(0.0%),(75.4%),(33.3%),(83.3%),(45.5%),(56.5%),,
257,34,1203,Ｃ大23,2-1,H,駒沢,晴,ＦＣ東京U-23,2017,fct,,12,3,0,614,18,12,2,2,29,9,21,21,2,2,2,0,43,14,135,8.9%,57.7%,(16.7%),(80.6%),(38.9%),(89.7%),(44.4%),(71.4%),11,3,0,379,14,11,4,4,24,6,21,16,2,2,1,0,38,9,133,8.3%,42.3%,(9.1%),(68.1%),(7.1%),(87.5%),(33.3%),(85.7%),,
258,1,0311,沼津,0-3,H,夢の島,晴時々曇,ＦＣ東京U-23,2018,fct,安間　貴義,9,2,0,433,9,13,2,0,35,17,39,33,0,0,1,0,41,7,143,6.3%,54.3%,(0.0%),(68.8%),(11.1%),(68.6%),(52.9%),(71.8%),16,6,0,376,23,8,0,8,45,21,39,19,0,2,1,0,39,21,152,10.5%,45.7%,(18.8%),(59.3%),(13.0%),(75.6%),(38.1%),(69.2%),,
259,2,0316,YS横浜,1-3,A,ニッパツ,雨,ＦＣ東京U-23,2018,fct,安間　貴義,21,13,0,449,19,11,2,9,18,11,28,31,1,4,1,0,39,19,151,13.9%,45.4%,(14.3%),(66.8%),(15.8%),(100.0%),(45.5%),(85.7%),11,2,0,507,11,15,4,5,29,19,21,24,3,2,1,0,36,4,154,7.1%,54.6%,(9.1%),(72.8%),(0.0%),(69.0%),(47.4%),(61.9%),,
260,3,0321,長野,0-1,A,長野Ｕ,雪,ＦＣ東京U-23,2018,fct,安間　貴義,12,4,0,540,15,8,1,6,30,17,32,23,2,4,3,1,49,8,158,7.6%,54%,(8.3%),(74.6%),(6.7%),(96.7%),(52.9%),(78.1%),10,3,0,382,9,10,4,4,29,20,26,18,2,1,0,0,43,7,151,6.6%,46%,(0.0%),(64.9%),(11.1%),(79.3%),(40.0%),(61.5%),,
261,4,0325,富山,3-0,H,味フィ西,晴,ＦＣ東京U-23,2018,fct,安間　貴義,15,5,1,576,10,20,1,3,17,10,25,23,4,1,0,0,40,18,123,12.2%,59.5%,(20.0%),(78.1%),(40.0%),(100.0%),(40.0%),(60.0%),11,0,0,332,15,15,2,3,25,9,17,21,1,1,4,1,27,10,127,8.7%,40.5%,(0.0%),(62.0%),(20.0%),(64.0%),(55.6%),(58.8%),,
262,5,0401,Ｃ大23,0-2,A,金鳥スタ,晴,ＦＣ東京U-23,2018,fct,安間　貴義,10,5,1,357,8,10,3,5,31,7,21,26,0,1,2,0,36,13,143,7.0%,46.8%,(20.0%),(58.5%),(12.5%),(74.2%),(57.1%),(61.9%),7,2,0,455,17,7,1,6,27,15,22,11,2,3,1,0,32,11,141,5.0%,53.2%,(0.0%),(64.6%),(5.9%),(81.5%),(13.3%),(86.4%),,
263,7,0414,北九州,0-1,H,夢の島,曇一時雨,ＦＣ東京U-23,2018,fct,安間　貴義,9,4,0,503,11,10,1,5,34,14,26,25,0,2,3,0,48,12,140,6.4%,54%,(0.0%),(70.8%),(18.2%),(82.4%),(50.0%),(73.1%),12,2,0,355,18,10,2,8,29,13,27,22,1,1,0,0,37,20,152,7.9%,46%,(8.3%),(61.7%),(16.7%),(69.0%),(38.5%),(70.4%),,
264,9,0503,盛岡,2-0,H,味フィ西,曇,ＦＣ東京U-23,2018,fct,安間　貴義,16,6,1,411,5,15,3,6,22,17,27,31,0,2,2,0,35,23,136,11.8%,50.6%,(12.5%),(77.1%),(60.0%),(68.2%),(17.6%),(81.5%),11,1,0,362,18,11,3,6,34,18,24,27,2,2,4,0,44,15,143,7.7%,49.4%,(0.0%),(69.3%),(5.6%),(82.4%),(44.4%),(79.2%),,
265,10,0506,鳥取,0-0,H,味フィ西,晴のち曇,ＦＣ東京U-23,2018,fct,安間　貴義,14,1,0,460,16,11,2,7,27,17,15,32,2,0,2,0,41,20,130,10.8%,53.4%,(0.0%),(75.7%),(18.8%),(77.8%),(41.2%),(93.3%),24,7,0,407,23,8,0,5,15,14,23,22,3,2,1,0,37,18,118,20.3%,46.6%,(0.0%),(71.5%),(17.4%),(80.0%),(78.6%),(73.9%),,
266,11,0520,群馬,1-4,A,正田スタ,晴,ＦＣ東京U-23,2018,fct,安間　貴義,17,8,0,400,17,11,1,6,22,4,27,35,4,1,1,0,31,14,137,12.4%,45.8%,(23.5%),(70.5%),(41.2%),(86.4%),(75.0%),(77.8%),14,3,0,525,13,10,1,6,44,15,17,18,2,0,0,0,49,14,141,9.9%,54.2%,(7.1%),(76.2%),(15.4%),(90.9%),(26.7%),(70.6%),,
267,8,0526,Ｇ大23,4-2,A,吹田Ｓ,晴,ＦＣ東京U-23,2018,fct,安間　貴義,21,10,0,538,22,5,0,9,25,14,28,12,1,0,0,0,41,20,123,17.1%,53.8%,(9.5%),(79.4%),(31.8%),(88.0%),(50.0%),(71.4%),21,8,0,384,6,10,0,5,17,19,28,38,3,0,1,0,41,13,110,19.1%,46.2%,(19.0%),(78.6%),(33.3%),(88.2%),(52.6%),(75.0%),,
268,12,0603,鹿児島,2-3,H,味フィ西,晴,ＦＣ東京U-23,2018,fct,安間　貴義,8,5,0,340,5,7,4,1,18,5,17,28,1,0,2,0,32,5,106,7.5%,40.4%,(25.0%),(75.6%),(40.0%),(77.8%),(20.0%),(82.4%),16,5,0,533,23,12,0,9,33,28,14,17,2,4,1,0,52,19,133,12.0%,59.6%,(18.8%),(79.2%),(26.1%),(81.8%),(57.1%),(85.7%),,
269,13,0610,秋田,0-0,A,Ａ‐スタ,晴,ＦＣ東京U-23,2018,fct,安間　貴義,9,3,0,360,18,8,1,7,24,8,23,23,1,8,1,0,33,17,138,6.5%,43.3%,(0.0%),(59.7%),(16.7%),(66.7%),(75.0%),(69.6%),11,4,0,444,13,13,8,7,31,10,21,26,0,1,0,0,47,8,146,7.5%,56.7%,(0.0%),(71.4%),(7.7%),(71.0%),(50.0%),(85.7%),,
270,14,0616,琉球,1-1,H,夢の島,曇,ＦＣ東京U-23,2018,fct,安間　貴義,16,5,0,448,14,12,2,2,19,16,28,22,3,1,0,0,34,13,126,12.7%,48.3%,(6.3%),(73.9%),(42.9%),(84.2%),(25.0%),(78.6%),16,10,1,526,14,19,1,4,23,11,21,25,0,2,1,0,42,11,147,10.9%,51.7%,(6.3%),(74.7%),(21.4%),(73.9%),(36.4%),(71.4%),,
271,15,0623,相模原,0-1,A,ギオンス,雨,ＦＣ東京U-23,2018,fct,安間　貴義,4,1,1,270,7,14,1,2,19,5,27,41,1,3,3,0,16,4,123,3.3%,38.7%,(25.0%),(64.1%),(0.0%),(84.2%),(40.0%),(74.1%),14,4,1,560,27,11,3,12,27,19,14,12,1,1,2,0,49,19,138,10.1%,61.3%,(0.0%),(80.9%),(29.6%),(100.0%),(31.6%),(85.7%),,
